WITNESS-B J?`F?|wlF_? N=11 cut=0x47c M=5 25M-N^2=4 sigma=[2,2,0,2,3,3,2,4,2,2,0]
WITNESS-B K??FF?^Fvw^_ N=12 cut=0x4f8 M=6 25M-N^2=6 sigma=[2,2,2,2,2,2,5,5,5,5,0,0]
WITNESS-B K??FF?^Fvw^_ N=12 cut=0x8f8 M=6 25M-N^2=6 sigma=[2,2,2,2,2,2,5,5,5,5,0,0]
WITNESS-B K?BD@j_QvoBs N=12 cut=0x7e M=6 25M-N^2=6 sigma=[0,2,2,3,3,2,2,2,0,2,3,3]
WITNESS-B K?BD@j_QvoBs N=12 cut=0xcc2 M=6 25M-N^2=6 sigma=[0,2,2,3,1,2,2,4,0,2,3,3]
WITNESS-B K?BD@j_QvoBs N=12 cut=0xe24 M=6 25M-N^2=6 sigma=[0,2,2,1,3,2,2,2,0,4,3,3]
WITNESS-B K?`@F?{UckBw N=12 cut=0x5d2 M=6 25M-N^2=6 sigma=[3,1,3,0,2,2,2,2,2,2,2,1]
WITNESS-B K?`@F?{UckBw N=12 cut=0x6b4 M=6 25M-N^2=6 sigma=[3,3,1,0,2,2,2,2,2,2,2,1]
WITNESS-B K?`@F?{UckBw N=12 cut=0xc1e M=6 25M-N^2=6 sigma=[1,3,3,0,2,2,2,2,2,2,2,1]
WITNESS-B K?`FE`wl?{Dg N=12 cut=0x696 M=6 25M-N^2=6 sigma=[2,2,2,2,2,2,2,2,2,2,2,2]
WITNESS-B K?`FE`wl?{Dg N=12 cut=0xa5a M=6 25M-N^2=6 sigma=[2,2,2,2,2,2,2,2,2,2,2,2]
WITNESS-B K?`FAo]]DgSg N=12 cut=0xfc M=6 25M-N^2=6 sigma=[0,2,2,2,2,4,2,0,4,2,2,2]
WITNESS-B K?`FAo]]DgSg N=12 cut=0x6f0 M=6 25M-N^2=6 sigma=[2,4,2,2,0,2,4,2,2,2,2,0]
WITNESS-B K?`FAo]]DgSg N=12 cut=0xa78 M=6 25M-N^2=6 sigma=[2,2,2,2,2,2,4,2,4,0,0,2]
WITNESS-B K?`FAo]]DgSg N=12 cut=0xd16 M=6 25M-N^2=6 sigma=[2,4,0,0,2,4,2,2,2,2,2,2]
# maximal-triangle-free graphs processed: 278
# maximum cuts checked (PART A): 587   failures: 0
# PART B witnesses (locally-max + switch-star + family(*) but 25|M| > N^2): 15
# best PART B ratio 25M/N^2 = 150/144  at  K??FF?^Fvw^_ N=12 cut=0x4f8 M=6
